t,x,y
0.000,0.000,0.000
0.020,0.000,0.000
0.040,0.000,0.000
0.060,0.000,0.000
0.080,0.000,0.000
0.100,0.000,0.000
0.120,0.000,0.000
0.140,0.000,0.000
0.160,0.000,0.000
0.180,0.000,0.000
0.200,0.000,0.000
0.220,0.000,0.000
0.240,0.000,0.000
0.260,0.000,0.000
0.280,0.000,0.000
0.300,0.000,0.000
0.320,0.000,0.000
0.340,0.000,0.000
0.360,0.000,0.000
0.380,0.000,0.000
0.400,0.000,0.000
0.420,0.000,0.000
0.440,0.000,0.000
0.460,0.000,0.000
0.480,0.000,0.000
0.500,0.000,0.000
0.520,0.000,0.000
0.540,0.000,0.000
0.560,0.000,0.000
0.580,0.000,0.000
0.600,0.000,0.000
0.620,0.000,0.000
0.640,0.000,0.000
0.660,0.000,0.000
0.680,0.000,0.000
0.700,0.000,0.000
0.720,0.000,0.000
0.740,0.000,0.000
0.760,0.000,0.000
0.780,0.000,0.000
0.800,0.000,0.000
0.820,0.000,0.000
0.840,0.000,0.000
0.860,0.000,0.000
0.880,0.000,0.000
0.900,0.000,0.000
0.920,0.000,0.000
0.940,0.000,0.000
0.960,0.000,0.000
0.980,-0.073,-0.036
1.000,-0.109,-0.036
1.020,-0.126,-0.028
1.040,-0.142,-0.020
1.060,-0.154,0.057
1.080,-0.170,0.157
1.100,-0.218,0.254
1.120,-0.267,0.351
1.140,-0.338,0.503
1.160,-0.422,0.667
1.180,-0.555,0.844
1.200,-0.704,1.015
1.220,-0.871,1.181
1.240,-1.096,1.269
1.260,-1.325,1.331
1.280,-1.514,1.320
1.300,-1.688,1.320
1.320,-1.849,1.331
1.340,-1.944,1.297
1.360,-2.020,1.256
1.380,-2.086,1.234
1.400,-2.103,1.175
1.420,-2.070,1.079
1.440,-2.011,0.971
1.460,-1.931,0.862
1.480,-1.776,0.763
1.500,-1.667,0.702
1.520,-1.602,0.681
1.540,-1.492,0.694
1.560,-1.380,0.731
1.580,-1.325,0.853
1.600,-1.302,1.021
1.620,-1.313,1.236
1.640,-1.359,1.411
1.660,-1.407,1.570
1.680,-1.407,1.688
1.700,-1.407,1.788
1.720,-1.407,1.866
1.740,-1.389,1.926
1.760,-1.356,1.963
1.780,-1.259,1.899
1.800,-1.196,1.844
1.820,-1.174,1.799
1.840,-1.143,1.790
1.860,-1.123,1.789
1.880,-1.177,1.778
1.900,-1.231,1.777
1.920,-1.286,1.787
1.940,-1.377,1.905
1.960,-1.469,2.051
1.980,-1.522,2.212
2.000,-1.602,2.351
2.020,-1.712,2.461
2.040,-1.734,2.561
2.060,-1.731,2.653
2.080,-1.698,2.697
2.100,-1.660,2.702
2.120,-1.616,2.657
2.140,-1.573,2.597
2.160,-1.534,2.532
2.180,-1.534,2.466
2.200,-1.584,2.409
2.220,-1.695,2.365
2.240,-1.803,2.373
2.260,-1.910,2.397
