t,x,y
0.000,0.000,0.000
0.020,0.000,0.000
0.040,0.000,0.000
0.060,0.000,0.000
0.080,0.000,0.000
0.100,0.000,0.000
0.120,0.000,0.000
0.140,0.000,0.000
0.160,0.000,0.000
0.180,0.000,0.000
0.200,0.000,0.000
0.220,0.000,0.000
0.240,0.000,0.000
0.260,0.000,0.000
0.280,0.000,0.000
0.300,0.000,0.000
0.320,0.000,0.000
0.340,0.000,0.000
0.360,0.000,0.000
0.380,0.000,0.000
0.400,0.000,0.000
0.420,0.000,0.000
0.440,0.000,0.000
0.460,0.000,0.000
0.480,0.000,0.000
0.500,0.000,0.000
0.520,0.000,0.000
0.540,0.000,0.000
0.560,0.000,0.000
0.580,0.000,0.000
0.600,0.000,0.000
0.620,0.000,0.000
0.640,0.000,0.000
0.660,0.000,0.000
0.680,0.000,0.000
0.700,0.000,0.000
0.720,0.000,0.000
0.740,0.000,0.000
0.760,0.000,0.000
0.780,0.000,0.000
0.800,0.000,0.000
0.820,0.000,0.000
0.840,0.000,0.000
0.860,0.000,0.000
0.880,0.000,0.000
0.900,0.000,0.000
0.920,0.000,0.000
0.940,0.000,0.000
0.960,0.000,0.000
0.980,0.023,0.014
1.000,0.076,0.067
1.020,0.125,0.108
1.040,0.178,0.142
1.060,0.235,0.164
1.080,0.294,0.162
1.100,0.353,0.149
1.120,0.408,0.081
1.140,0.452,-0.001
1.160,0.479,-0.107
1.180,0.500,-0.233
1.200,0.519,-0.369
1.220,0.545,-0.493
1.240,0.595,-0.608
1.260,0.700,-0.704
1.280,0.828,-0.726
1.300,0.969,-0.708
1.320,1.182,-0.624
1.340,1.400,-0.524
1.360,1.632,-0.388
1.380,1.696,-0.305
1.400,1.668,-0.250
1.420,1.628,-0.206
1.440,1.572,-0.182
1.460,1.476,-0.204
1.480,1.327,-0.271
1.500,1.149,-0.362
1.520,0.995,-0.499
1.540,0.966,-0.555
1.560,1.230,-0.423
1.580,1.512,-0.202
1.600,1.804,0.066
1.620,2.105,0.358
1.640,2.439,0.749
1.660,2.849,1.374
1.680,3.223,2.038
1.700,3.577,2.724
1.720,3.703,3.200
1.740,3.722,3.530
1.760,3.522,3.543
1.780,3.299,3.488
1.800,3.064,3.395
1.820,2.732,2.918
1.840,2.389,2.376
1.860,2.033,1.728
1.880,1.736,1.105
1.900,1.471,0.494
1.920,1.410,0.174
1.940,1.372,-0.115
1.960,1.363,-0.366
1.980,1.377,-0.562
2.000,1.404,-0.730
2.020,1.454,-0.808
2.040,1.499,-0.860
2.060,1.530,-0.865
2.080,1.530,-0.852
2.100,1.512,-0.830
2.120,1.490,-0.785
2.140,1.459,-0.731
2.160,1.408,-0.659
2.180,1.436,-0.604
2.200,1.507,-0.560
2.220,1.624,-0.532
2.240,1.765,-0.511
2.260,1.970,-0.506
2.280,2.186,-0.499
2.300,2.410,-0.490
