t,x,y
0.000,0.000,0.000
0.020,0.000,0.000
0.040,0.000,0.000
0.060,0.000,0.000
0.080,-0.023,-0.014
0.100,-0.076,-0.067
0.120,-0.125,-0.108
0.140,-0.178,-0.142
0.160,-0.235,-0.164
0.180,-0.294,-0.162
0.200,-0.353,-0.149
0.220,-0.408,-0.081
0.240,-0.452,0.001
0.260,-0.479,0.107
0.280,-0.500,0.233
0.300,-0.519,0.369
0.320,-0.545,0.493
0.340,-0.595,0.608
0.360,-0.700,0.704
0.380,-0.828,0.726
0.400,-0.969,0.708
0.420,-1.182,0.624
0.440,-1.400,0.524
0.460,-1.632,0.388
0.480,-1.696,0.305
0.500,-1.668,0.250
0.520,-1.628,0.206
0.540,-1.572,0.182
0.560,-1.476,0.204
0.580,-1.327,0.271
0.600,-1.149,0.362
0.620,-0.995,0.499
0.640,-0.966,0.555
0.660,-1.230,0.423
0.680,-1.512,0.202
0.700,-1.804,-0.066
0.720,-2.105,-0.358
0.740,-2.439,-0.749
0.760,-2.849,-1.374
0.780,-3.223,-2.038
0.800,-3.577,-2.724
0.820,-3.703,-3.200
0.840,-3.722,-3.530
0.860,-3.522,-3.543
0.880,-3.299,-3.488
0.900,-3.064,-3.395
0.920,-2.732,-2.918
0.940,-2.389,-2.376
0.960,-2.033,-1.728
0.980,-1.736,-1.105
1.000,-1.471,-0.494
1.020,-1.410,-0.174
1.040,-1.372,0.115
1.060,-1.363,0.366
1.080,-1.377,0.562
1.100,-1.404,0.730
1.120,-1.454,0.808
1.140,-1.499,0.860
1.160,-1.530,0.865
1.180,-1.530,0.852
1.200,-1.512,0.830
1.220,-1.490,0.785
1.240,-1.459,0.731
1.260,-1.408,0.659
1.280,-1.436,0.604
1.300,-1.507,0.560
1.320,-1.624,0.532
1.340,-1.765,0.511
1.360,-1.970,0.506
1.380,-2.186,0.499
1.400,-2.410,0.490
1.420,-2.572,0.422
1.440,-2.686,0.353
1.460,-2.663,0.290
1.480,-2.589,0.231
1.500,-2.479,0.177
1.520,-2.297,0.116
1.540,-2.123,0.065
1.560,-1.986,0.046
1.580,-1.912,0.075
1.600,-1.880,0.134
1.620,-1.971,0.175
1.640,-2.080,0.214
1.660,-2.221,0.250
1.680,-2.379,0.278
1.700,-2.547,0.301
1.720,-2.678,0.227
1.740,-2.803,0.136
1.760,-2.917,0.014
1.780,-2.981,-0.129
1.800,-3.013,-0.283
1.820,-2.947,-0.417
1.840,-2.875,-0.539
1.860,-2.798,-0.630
1.880,-2.692,-0.659
1.900,-2.568,-0.646
1.920,-2.384,-0.677
1.940,-2.198,-0.708
1.960,-2.029,-0.722
1.980,-1.914,-0.767
2.000,-1.834,-0.834
2.020,-1.838,-1.009
2.040,-1.870,-1.227
2.060,-1.956,-1.541
2.080,-2.111,-1.826
2.100,-2.310,-2.091
2.120,-2.597,-2.310
2.140,-2.924,-2.499
