t,x,y
0.000,-0.002,0.005
0.020,-0.003,0.007
0.040,-0.004,0.010
0.060,-0.007,0.016
0.080,-0.010,0.025
0.100,-0.014,0.039
0.120,-0.020,0.060
0.140,-0.029,0.090
0.160,-0.043,0.129
0.180,-0.065,0.175
0.200,-0.096,0.231
0.220,-0.135,0.293
0.240,-0.178,0.359
0.260,-0.216,0.428
0.280,-0.243,0.496
0.300,-0.261,0.544
0.320,-0.266,0.572
0.340,-0.268,0.579
0.360,-0.274,0.566
0.380,-0.292,0.542
0.400,-0.302,0.530
0.420,-0.297,0.537
0.440,-0.271,0.561
0.460,-0.202,0.606
0.480,-0.084,0.659
0.501,0.049,0.711
0.521,0.164,0.751
0.541,0.250,0.777
0.561,0.263,0.774
0.581,0.195,0.755
0.601,0.060,0.723
0.621,-0.094,0.690
0.641,-0.258,0.660
0.661,-0.402,0.650
0.681,-0.511,0.658
0.701,-0.583,0.674
0.721,-0.634,0.691
0.741,-0.667,0.705
0.761,-0.686,0.710
0.781,-0.697,0.703
0.801,-0.706,0.685
0.821,-0.716,0.662
0.841,-0.729,0.630
0.861,-0.741,0.593
0.881,-0.753,0.554
0.901,-0.763,0.523
0.921,-0.769,0.500
0.941,-0.775,0.486
0.961,-0.788,0.471
0.981,-0.808,0.439
1.001,-0.834,0.375
1.021,-0.865,0.287
1.041,-0.892,0.186
1.061,-0.908,0.085
1.081,-0.912,0.019
1.101,-0.905,-0.003
1.121,-0.892,0.005
1.141,-0.884,0.028
1.161,-0.882,0.060
1.181,-0.888,0.083
1.201,-0.899,0.078
1.221,-0.903,0.054
1.241,-0.888,0.019
1.261,-0.858,-0.028
1.281,-0.816,-0.080
1.301,-0.771,-0.111
1.321,-0.739,-0.121
1.341,-0.735,-0.115
1.361,-0.771,-0.094
1.381,-0.843,-0.064
1.401,-0.941,-0.042
1.421,-1.051,-0.027
1.441,-1.159,-0.003
1.461,-1.238,0.034
1.481,-1.287,0.085
1.502,-1.309,0.152
1.522,-1.310,0.238
1.542,-1.297,0.310
1.562,-1.284,0.359
1.582,-1.275,0.381
1.602,-1.277,0.372
1.622,-1.292,0.331
1.642,-1.321,0.279
1.662,-1.368,0.233
1.682,-1.429,0.201
1.702,-1.498,0.186
1.722,-1.571,0.184
1.742,-1.636,0.189
1.762,-1.686,0.189
1.782,-1.718,0.184
1.802,-1.732,0.186
1.822,-1.731,0.201
1.842,-1.727,0.233
1.862,-1.726,0.279
1.882,-1.733,0.331
1.902,-1.745,0.372
1.922,-1.758,0.381
1.942,-1.759,0.359
1.962,-1.748,0.310
1.982,-1.719,0.238
2.002,-1.676,0.152
2.022,-1.641,0.085
2.042,-1.628,0.034
2.062,-1.640,-0.003
2.082,-1.687,-0.027
2.102,-1.772,-0.042
2.122,-1.866,-0.064
2.142,-1.954,-0.094
2.162,-2.032,-0.115
2.182,-2.084,-0.121
2.202,-2.106,-0.111
2.222,-2.109,-0.080
2.242,-2.102,-0.028
2.262,-2.083,0.019
2.282,-2.059,0.054
2.302,-2.031,0.078
2.322,-1.996,0.083
2.342,-1.940,0.060
2.362,-1.871,0.028
2.382,-1.796,0.005
2.402,-1.721,-0.003
2.422,-1.652,0.019
2.442,-1.606,0.085
2.462,-1.586,0.186
2.482,-1.582,0.287
2.503,-1.596,0.375
2.523,-1.633,0.439
