t,x,y
0.000,0.005,-0.002
0.020,0.007,-0.003
0.040,0.010,-0.004
0.060,0.016,-0.007
0.080,0.025,-0.010
0.100,0.039,-0.014
0.120,0.060,-0.020
0.140,0.090,-0.029
0.160,0.129,-0.043
0.180,0.175,-0.065
0.200,0.231,-0.096
0.220,0.293,-0.135
0.240,0.359,-0.178
0.260,0.428,-0.216
0.280,0.496,-0.243
0.300,0.544,-0.261
0.320,0.572,-0.266
0.340,0.579,-0.268
0.360,0.566,-0.274
0.380,0.542,-0.292
0.400,0.530,-0.302
0.420,0.537,-0.297
0.440,0.561,-0.271
0.460,0.606,-0.202
0.480,0.659,-0.084
0.501,0.711,0.049
0.521,0.751,0.164
0.541,0.777,0.250
0.561,0.774,0.263
0.581,0.755,0.195
0.601,0.723,0.060
0.621,0.690,-0.094
0.641,0.660,-0.258
0.661,0.650,-0.402
0.681,0.658,-0.511
0.701,0.674,-0.583
0.721,0.691,-0.634
0.741,0.705,-0.667
0.761,0.710,-0.686
0.781,0.703,-0.697
0.801,0.685,-0.706
0.821,0.662,-0.716
0.841,0.630,-0.729
0.861,0.593,-0.741
0.881,0.554,-0.753
0.901,0.523,-0.763
0.921,0.500,-0.769
0.941,0.486,-0.775
0.961,0.471,-0.788
0.981,0.439,-0.808
1.001,0.375,-0.834
1.021,0.287,-0.865
1.041,0.186,-0.892
1.061,0.085,-0.908
1.081,0.019,-0.912
1.101,-0.003,-0.905
1.121,0.005,-0.892
1.141,0.028,-0.884
1.161,0.060,-0.882
1.181,0.083,-0.888
1.201,0.078,-0.899
1.221,0.054,-0.903
1.241,0.019,-0.888
1.261,-0.028,-0.858
1.281,-0.080,-0.816
1.301,-0.111,-0.771
1.321,-0.121,-0.739
1.341,-0.115,-0.735
1.361,-0.094,-0.771
1.381,-0.064,-0.843
1.401,-0.042,-0.941
1.421,-0.027,-1.051
1.441,-0.003,-1.159
1.461,0.034,-1.238
1.481,0.085,-1.287
1.502,0.152,-1.309
1.522,0.238,-1.310
1.542,0.310,-1.297
1.562,0.359,-1.284
1.582,0.381,-1.275
1.602,0.372,-1.277
1.622,0.331,-1.292
1.642,0.279,-1.321
1.662,0.233,-1.368
1.682,0.201,-1.429
1.702,0.186,-1.498
1.722,0.184,-1.571
1.742,0.189,-1.636
1.762,0.189,-1.686
1.782,0.184,-1.718
1.802,0.186,-1.732
1.822,0.201,-1.731
1.842,0.233,-1.727
1.862,0.279,-1.726
1.882,0.331,-1.733
1.902,0.372,-1.745
1.922,0.381,-1.758
1.942,0.359,-1.759
1.962,0.310,-1.748
1.982,0.238,-1.719
2.002,0.152,-1.676
2.022,0.085,-1.641
2.042,0.034,-1.628
2.062,-0.003,-1.640
2.082,-0.027,-1.687
2.102,-0.042,-1.772
2.122,-0.064,-1.866
2.142,-0.094,-1.954
2.162,-0.115,-2.032
2.182,-0.121,-2.084
2.202,-0.111,-2.106
2.222,-0.080,-2.109
2.242,-0.028,-2.102
2.262,0.019,-2.083
2.282,0.054,-2.059
2.302,0.078,-2.031
2.322,0.083,-1.996
2.342,0.060,-1.940
2.362,0.028,-1.871
2.382,0.005,-1.796
2.402,-0.003,-1.721
2.422,0.019,-1.652
2.442,0.085,-1.606
2.462,0.186,-1.586
2.482,0.287,-1.582
2.503,0.375,-1.596
2.523,0.439,-1.633
2.543,0.471,-1.695
2.563,0.486,-1.774
2.583,0.500,-1.866
2.603,0.523,-1.959
2.623,0.554,-2.035
2.643,0.593,-2.077
2.663,0.630,-2.089
2.683,0.662,-2.084
2.703,0.685,-2.067
2.723,0.703,-2.044
2.743,0.710,-2.028
2.763,0.705,-2.025
2.783,0.691,-2.032
2.803,0.674,-2.057
2.823,0.658,-2.103
2.843,0.650,-2.163
2.863,0.660,-2.226
2.883,0.690,-2.278
2.903,0.723,-2.309
2.923,0.755,-2.322
2.943,0.774,-2.323
2.963,0.777,-2.319
2.983,0.751,-2.334
3.003,0.713,-2.372
3.023,0.663,-2.429
3.043,0.612,-2.497
3.063,0.570,-2.571
3.083,0.551,-2.628
3.103,0.553,-2.664
3.123,0.578,-2.683
3.143,0.623,-2.692
3.163,0.665,-2.697
3.183,0.696,-2.706
3.203,0.716,-2.721
3.223,0.723,-2.739
3.243,0.719,-2.764
3.263,0.721,-2.788
3.283,0.729,-2.812
3.303,0.736,-2.836
3.323,0.737,-2.860
3.343,0.728,-2.876
3.363,0.708,-2.890
3.383,0.672,-2.904
3.403,0.633,-2.917
3.423,0.598,-2.931
3.443,0.565,-2.949
3.463,0.532,-2.972
3.483,0.507,-2.999
3.504,0.482,-3.026
3.524,0.453,-3.053
3.544,0.429,-3.074
3.564,0.413,-3.087
3.584,0.399,-3.094
3.604,0.388,-3.096
3.624,0.387,-3.096
3.644,0.387,-3.104
3.664,0.386,-3.120
3.684,0.386,-3.140
3.704,0.395,-3.172
3.724,0.403,-3.217
3.744,0.411,-3.275
3.764,0.423,-3.350
3.784,0.434,-3.451
3.804,0.433,-3.565
3.824,0.427,-3.685
3.844,0.423,-3.805
3.864,0.416,-3.913
3.884,0.403,-4.001
3.904,0.386,-4.069
3.924,0.353,-4.117
3.944,0.296,-4.153
3.964,0.214,-4.186
3.984,0.107,-4.213
4.004,-0.015,-4.239
4.024,-0.137,-4.266
4.044,-0.252,-4.290
4.064,-0.350,-4.303
4.084,-0.417,-4.316
4.104,-0.461,-4.331
4.124,-0.490,-4.347
4.144,-0.501,-4.362
4.164,-0.498,-4.384
4.184,-0.491,-4.408
4.204,-0.473,-4.430
4.224,-0.446,-4.453
4.244,-0.420,-4.484
4.264,-0.401,-4.517
4.284,-0.389,-4.553
4.304,-0.388,-4.594
4.324,-0.393,-4.639
4.344,-0.400,-4.682
4.364,-0.405,-4.724
