time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
9976,-0.18,0.61,-0.06,0.173340,-0.082031,0.978027,-9.97,-4.93
9977,-0.12,0.49,-0.12,0.172852,-0.082520,0.978027,-9.97,-4.91
9978,-0.12,0.49,-0.12,0.172852,-0.082520,0.978027,-9.97,-4.90
9979,-0.12,0.43,-0.18,0.171875,-0.083008,0.977051,-9.97,-4.88
9980,-0.12,0.43,-0.18,0.171875,-0.083008,0.977051,-9.97,-4.87
9981,-0.12,0.37,-0.18,0.171875,-0.083496,0.977051,-9.97,-4.87
9983,-0.12,0.37,-0.18,0.171875,-0.083496,0.977051,-9.97,-4.86
9983,-0.18,0.31,-0.18,0.171875,-0.084473,0.977051,-9.96,-4.86
9985,-0.18,0.31,-0.18,0.171875,-0.084473,0.977051,-9.96,-4.86
9987,-0.18,0.24,-0.18,0.173828,-0.085449,0.978027,-9.96,-4.86
9988,-0.18,0.24,-0.18,0.173828,-0.085449,0.978027,-9.97,-4.86
9989,-0.24,0.18,-0.12,0.176270,-0.086914,0.979004,-9.98,-4.87
9991,-0.24,0.18,-0.12,0.176270,-0.086914,0.979004,-9.99,-4.88
9992,-0.31,0.12,-0.06,0.177734,-0.087891,0.980469,-10.01,-4.89
9993,-0.31,0.12,-0.06,0.177734,-0.087891,0.980469,-10.03,-4.90
9993,-0.37,-0.00,-0.06,0.178711,-0.088379,0.981934,-10.05,-4.92
9996,-0.37,-0.00,-0.06,0.178711,-0.088379,0.981934,-10.07,-4.93
9997,-0.43,-0.06,-0.12,0.178223,-0.088867,0.981445,-10.08,-4.94
9999,-0.43,-0.06,-0.12,0.178223,-0.088867,0.981445,-10.10,-4.96
10000,-0.43,-0.06,-0.18,0.177246,-0.089355,0.979980,-10.11,-4.97
10001,-0.43,-0.06,-0.18,0.177246,-0.089355,0.979980,-10.12,-4.98
10003,-0.49,-0.06,-0.24,0.175781,-0.090820,0.978516,-10.13,-5.00
10004,-0.49,-0.00,-0.24,0.173340,-0.092285,0.977539,-10.12,-5.02
10004,-0.49,-0.00,-0.24,0.173340,-0.092285,0.977539,-10.12,-5.05
10006,-0.49,0.06,-0.31,0.171875,-0.093750,0.977539,-10.11,-5.07
10008,-0.49,0.06,-0.31,0.171875,-0.093750,0.977539,-10.09,-5.10
10009,-0.55,0.12,-0.31,0.170410,-0.094238,0.978516,-10.07,-5.13
10010,-0.55,0.12,-0.31,0.170410,-0.094238,0.978516,-10.06,-5.15
10012,-0.55,0.18,-0.31,0.170410,-0.095215,0.979004,-10.04,-5.18
10013,-0.55,0.18,-0.31,0.170410,-0.095215,0.979004,-10.02,-5.20
10014,-0.61,0.18,-0.31,0.170898,-0.095215,0.979492,-10.00,-5.23
10014,-0.61,0.18,-0.31,0.170898,-0.095215,0.979492,-9.99,-5.25
10017,-0.61,0.18,-0.31,0.171387,-0.095215,0.978027,-9.98,-5.27
10018,-0.61,0.18,-0.31,0.171387,-0.095215,0.978027,-9.97,-5.29
