time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
13362,-0.55,0.06,-0.37,0.174805,-0.078613,0.974121,-10.05,-4.28
13363,-0.55,0.06,-0.37,0.175293,-0.080078,0.975098,-10.06,-4.31
13364,-0.55,0.06,-0.37,0.175293,-0.080078,0.975098,-10.06,-4.33
13366,-0.49,0.06,-0.31,0.175293,-0.079590,0.975098,-10.07,-4.36
13366,-0.49,0.06,-0.31,0.175293,-0.079590,0.975098,-10.08,-4.38
13368,-0.43,0.12,-0.31,0.175293,-0.078613,0.975098,-10.09,-4.40
13369,-0.43,0.12,-0.31,0.175293,-0.078613,0.975098,-10.09,-4.41
13371,-0.43,0.12,-0.24,0.176270,-0.077148,0.975098,-10.10,-4.42
13372,-0.43,0.12,-0.24,0.176270,-0.077148,0.975098,-10.11,-4.43
13373,-0.37,0.18,-0.24,0.177246,-0.076172,0.975098,-10.12,-4.43
13375,-0.37,0.18,-0.24,0.177246,-0.076172,0.975098,-10.13,-4.43
13376,-0.31,0.18,-0.24,0.178223,-0.075684,0.975098,-10.15,-4.42
13376,-0.24,0.18,-0.24,0.178711,-0.076172,0.974609,-10.16,-4.42
13379,-0.24,0.18,-0.24,0.178711,-0.076172,0.974609,-10.18,-4.42
13380,-0.18,0.18,-0.24,0.178223,-0.076172,0.975098,-10.19,-4.42
13381,-0.18,0.18,-0.24,0.178223,-0.076172,0.975098,-10.21,-4.41
13382,-0.18,0.18,-0.18,0.178223,-0.076172,0.974121,-10.22,-4.41
13384,-0.18,0.18,-0.18,0.178223,-0.076172,0.974121,-10.23,-4.41
13385,-0.12,0.12,-0.18,0.177734,-0.075684,0.975586,-10.24,-4.41
13387,-0.12,0.12,-0.18,0.177734,-0.075684,0.975586,-10.24,-4.41
13387,-0.12,0.12,-0.18,0.177734,-0.075195,0.976074,-10.25,-4.40
13390,-0.12,0.12,-0.18,0.177734,-0.075195,0.976074,-10.25,-4.40
13391,-0.12,0.12,-0.18,0.177734,-0.074707,0.977539,-10.25,-4.39
13392,-0.12,0.12,-0.18,0.177734,-0.074707,0.977539,-10.26,-4.38
13393,-0.18,0.18,-0.18,0.177734,-0.073730,0.978516,-10.26,-4.37
13395,-0.18,0.18,-0.18,0.177734,-0.073730,0.978516,-10.26,-4.36
13396,-0.18,0.31,-0.18,0.177246,-0.073242,0.979004,-10.26,-4.35
13397,-0.18,0.31,-0.18,0.177246,-0.073242,0.979004,-10.26,-4.34
13397,-0.12,0.37,-0.12,0.175781,-0.072754,0.978516,-10.25,-4.33
13400,-0.12,0.37,-0.12,0.175781,-0.072754,0.978516,-10.24,-4.32
13401,-0.12,0.43,-0.12,0.174316,-0.073242,0.977539,-10.23,-4.31
13402,-0.12,0.43,-0.12,0.174316,-0.073242,0.977539,-10.22,-4.30
13404,-0.06,0.49,-0.12,0.172363,-0.073242,0.976074,-10.21,-4.29
13405,-0.06,0.49,-0.12,0.172363,-0.073242,0.976074,-10.19,-4.28
13406,-0.06,0.49,-0.12,0.171387,-0.073242,0.976074,-10.17,-4.28
13408,-0.06,0.49,-0.12,0.171387,-0.073242,0.976074,-10.15,-4.27
13408,-0.00,0.49,-0.12,0.171387,-0.073242,0.975098,-10.13,-4.27
13410,-0.00,0.49,-0.12,0.171387,-0.073242,0.975098,-10.11,-4.27
13412,0.06,0.49,-0.12,0.171875,-0.072754,0.974121,-10.10,-4.26
13412,0.06,0.49,-0.12,0.171875,-0.072754,0.974121,-10.09,-4.26
13414,0.06,0.43,-0.18,0.173340,-0.072266,0.974609,-10.08,-4.25
13415,0.12,0.43,-0.18,0.174316,-0.070801,0.974609,-10.08,-4.24
13416,0.12,0.43,-0.18,0.174316,-0.070801,0.974609,-10.08,-4.23
13418,0.12,0.43,-0.18,0.174805,-0.069824,0.975586,-10.08,-4.22
13418,0.12,0.43,-0.18,0.174805,-0.069824,0.975586,-10.08,-4.20
13420,0.12,0.43,-0.24,0.174316,-0.068848,0.976563,-10.09,-4.18
13421,0.12,0.43,-0.24,0.174316,-0.068848,0.976563,-10.09,-4.17
13423,0.12,0.43,-0.24,0.172852,-0.067871,0.978027,-10.08,-4.15
13424,0.12,0.43,-0.24,0.172852,-0.067871,0.978027,-10.08,-4.13
13425,0.06,0.49,-0.24,0.170410,-0.066895,0.978516,-10.06,-4.10
13427,0.06,0.49,-0.24,0.170410,-0.066895,0.978516,-10.05,-4.08
13428,-0.06,0.55,-0.24,0.168945,-0.066895,0.978027,-10.03,-4.06
13428,-0.06,0.55,-0.24,0.168945,-0.066895,0.978027,-10.01,-4.04
13430,-0.12,0.55,-0.31,0.166992,-0.066406,0.977539,-9.98,-4.03
13432,-0.12,0.55,-0.31,0.166992,-0.066406,0.977539,-9.96,-4.01
13433,-0.18,0.55,-0.31,0.167480,-0.066895,0.977051,-9.93,-4.00
13434,-0.18,0.55,-0.31,0.167480,-0.066895,0.977051,-9.91,-3.98
13436,-0.24,0.49,-0.31,0.166992,-0.066895,0.977051,-9.89,-3.97
13437,-0.24,0.49,-0.31,0.166992,-0.066895,0.977051,-9.87,-3.96
13438,-0.24,0.43,-0.37,0.166992,-0.067383,0.977539,-9.86,-3.95
13438,-0.24,0.43,-0.37,0.166992,-0.067383,0.977539,-9.84,-3.95
13441,-0.18,0.37,-0.37,0.166992,-0.067383,0.978516,-9.82,-3.94
13442,-0.18,0.37,-0.37,0.166992,-0.067383,0.978516,-9.81,-3.94
13443,-0.18,0.37,-0.31,0.166992,-0.067871,0.978516,-9.79,-3.93
13445,-0.18,0.37,-0.31,0.166992,-0.067871,0.978516,-9.78,-3.93
13446,-0.12,0.37,-0.31,0.166992,-0.067871,0.978027,-9.77,-3.93
13447,-0.12,0.37,-0.31,0.166992,-0.067871,0.978027,-9.76,-3.93
13449,-0.12,0.31,-0.24,0.167480,-0.067383,0.977539,-9.75,-3.92
13449,-0.06,0.31,-0.18,0.168457,-0.067871,0.975586,-9.75,-3.92
13451,-0.06,0.31,-0.18,0.168457,-0.067871,0.975586,-9.75,-3.92
13453,-0.06,0.24,-0.12,0.169434,-0.068359,0.974609,-9.75,-3.92
13454,-0.06,0.24,-0.12,0.169434,-0.068359,0.974609,-9.76,-3.93
13455,-0.00,0.18,-0.06,0.170898,-0.069824,0.974121,-9.77,-3.93
13456,-0.00,0.18,-0.06,0.170898,-0.069824,0.974121,-9.78,-3.94
13458,-0.00,0.12,-0.06,0.170898,-0.070801,0.973145,-9.79,-3.95
13459,-0.00,0.12,-0.06,0.170898,-0.070801,0.973145,-9.81,-3.96
13459,-0.00,0.06,0.00,0.170898,-0.071289,0.973633,-9.82,-3.97
13461,-0.00,0.06,0.00,0.170898,-0.071289,0.973633,-9.83,-3.99
13463,-0.00,-0.00,0.00,0.170898,-0.071777,0.974121,-9.84,-4.00
13464,-0.00,-0.00,0.00,0.170898,-0.071777,0.974121,-9.84,-4.01
13465,-0.00,-0.06,0.00,0.170898,-0.071289,0.974609,-9.85,-4.02
13466,-0.00,-0.06,0.00,0.170898,-0.071289,0.974609,-9.86,-4.03
13468,-0.00,-0.06,0.06,0.171387,-0.069824,0.975098,-9.86,-4.04
