time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
288606,-1.40,0.55,0.49,0.288086,-0.171875,0.931152,-17.17,-9.47
288608,-1.40,0.61,0.43,0.285156,-0.171875,0.930664,-17.14,-9.52
288609,-1.40,0.61,0.43,0.285156,-0.171875,0.930664,-17.11,-9.57
288610,-1.40,0.79,0.37,0.282715,-0.172852,0.930664,-17.08,-9.61
288612,-1.40,0.79,0.37,0.282715,-0.172852,0.930664,-17.04,-9.65
288613,-1.40,0.92,0.31,0.281250,-0.173340,0.929199,-17.00,-9.69
288613,-1.40,0.92,0.31,0.281250,-0.173340,0.929199,-16.96,-9.73
288616,-1.34,0.98,0.31,0.279785,-0.172852,0.930176,-16.92,-9.77
288617,-1.34,0.98,0.31,0.279785,-0.172852,0.930176,-16.88,-9.80
288618,-1.28,0.98,0.31,0.278809,-0.172852,0.930176,-16.84,-9.83
288619,-1.28,0.98,0.31,0.278809,-0.172852,0.930176,-16.81,-9.85
288621,-1.10,0.98,0.37,0.278320,-0.173340,0.930664,-16.77,-9.88
288621,-1.10,0.98,0.37,0.278320,-0.173340,0.930664,-16.74,-9.90
288622,-0.92,0.92,0.43,0.277344,-0.173828,0.931641,-16.70,-9.92
288622,-0.92,0.92,0.43,0.277344,-0.173828,0.931641,-16.67,-9.94
288625,-0.79,0.85,0.49,0.276855,-0.174805,0.931641,-16.63,-9.96
288627,-0.61,0.73,0.55,0.275391,-0.176758,0.932129,-16.60,-9.99
288628,-0.61,0.73,0.55,0.275391,-0.176758,0.932129,-16.56,-10.01
288629,-0.55,0.61,0.55,0.274902,-0.177246,0.932617,-16.53,-10.04
288631,-0.55,0.61,0.55,0.274902,-0.177246,0.932617,-16.49,-10.07
288632,-0.43,0.49,0.49,0.274902,-0.178223,0.932617,-16.46,-10.09
288633,-0.43,0.49,0.49,0.274902,-0.178223,0.932617,-16.43,-10.12
288634,-0.37,0.31,0.49,0.273926,-0.178711,0.932617,-16.40,-10.14
288636,-0.37,0.31,0.49,0.273926,-0.178711,0.932617,-16.38,-10.17
288637,-0.31,0.18,0.43,0.274414,-0.179688,0.932129,-16.35,-10.19
288639,-0.31,0.18,0.43,0.274414,-0.179688,0.932129,-16.33,-10.22
288639,-0.24,-0.00,0.37,0.272949,-0.180176,0.932129,-16.31,-10.24
