time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
325369,1.16,1.40,2.38,0.275879,-0.160645,0.934082,-16.55,-9.49
325369,1.16,1.40,2.38,0.275879,-0.160645,0.934082,-16.52,-9.48
325372,1.22,1.28,2.32,0.274902,-0.159180,0.932617,-16.49,-9.47
325373,1.22,1.28,2.32,0.274902,-0.159180,0.932617,-16.47,-9.45
325374,1.34,1.16,2.20,0.274902,-0.157227,0.931641,-16.44,-9.44
325376,1.34,1.16,2.20,0.274902,-0.157227,0.931641,-16.42,-9.42
325377,1.46,1.04,2.14,0.275391,-0.155762,0.930664,-16.40,-9.39
325378,1.46,1.04,2.14,0.275391,-0.155762,0.930664,-16.39,-9.37
325380,1.59,0.92,2.01,0.276855,-0.154785,0.930664,-16.38,-9.34
325380,1.59,0.92,2.01,0.276855,-0.154785,0.930664,-16.37,-9.32
325382,1.65,0.73,1.95,0.278320,-0.153809,0.930664,-16.37,-9.29
325384,1.65,0.73,1.95,0.278320,-0.153809,0.930664,-16.38,-9.27
325385,1.59,0.61,1.89,0.278809,-0.153809,0.931152,-16.38,-9.24
325386,1.53,0.43,1.89,0.279785,-0.153809,0.931152,-16.39,-9.22
325387,1.53,0.43,1.89,0.279785,-0.153809,0.931152,-16.40,-9.20
325389,1.34,0.31,1.83,0.279297,-0.154297,0.931641,-16.41,-9.18
325390,1.34,0.31,1.83,0.279297,-0.154297,0.931641,-16.41,-9.16
325390,1.16,0.12,1.83,0.278809,-0.156250,0.932617,-16.42,-9.15
325393,1.16,0.12,1.83,0.278809,-0.156250,0.932617,-16.42,-9.15
325394,0.98,0.06,1.83,0.278809,-0.157227,0.933105,-16.42,-9.15
325395,0.98,0.06,1.83,0.278809,-0.157227,0.933105,-16.42,-9.15
325397,0.79,-0.06,1.83,0.279297,-0.158691,0.934570,-16.42,-9.15
325398,0.79,-0.06,1.83,0.279297,-0.158691,0.934570,-16.42,-9.16
325399,0.61,-0.12,1.83,0.280273,-0.159668,0.935059,-16.42,-9.16
325400,0.61,-0.12,1.83,0.280273,-0.159668,0.935059,-16.42,-9.17
325401,0.49,-0.18,1.83,0.281250,-0.159668,0.935547,-16.43,-9.18
325403,0.49,-0.18,1.83,0.281250,-0.159668,0.935547,-16.43,-9.19
325404,0.49,-0.31,1.77,0.282227,-0.159180,0.935059,-16.44,-9.20
325406,0.49,-0.31,1.77,0.282227,-0.159180,0.935059,-16.45,-9.21
325407,0.43,-0.43,1.71,0.281250,-0.159668,0.934082,-16.46,-9.21
325408,0.43,-0.43,1.71,0.281250,-0.159668,0.934082,-16.47,-9.22
325410,0.43,-0.49,1.65,0.281738,-0.159668,0.933594,-16.47,-9.23
325411,0.43,-0.49,1.65,0.281738,-0.159668,0.933594,-16.48,-9.23
325411,0.43,-0.55,1.59,0.281738,-0.160645,0.932617,-16.49,-9.24
325413,0.43,-0.55,1.59,0.281738,-0.160645,0.932617,-16.50,-9.25
325415,0.37,-0.61,1.53,0.282227,-0.161621,0.932129,-16.51,-9.26
325416,0.37,-0.61,1.53,0.282227,-0.161621,0.932129,-16.52,-9.28
325417,0.31,-0.67,1.53,0.283203,-0.163086,0.931641,-16.53,-9.29
325419,0.24,-0.73,1.59,0.284668,-0.164063,0.931641,-16.54,-9.31
325420,0.24,-0.73,1.59,0.284668,-0.164063,0.931641,-16.56,-9.33
325421,0.24,-0.79,1.59,0.285645,-0.165527,0.932129,-16.58,-9.36
325421,0.24,-0.79,1.59,0.285645,-0.165527,0.932129,-16.60,-9.38
