time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
232446,-0.24,0.43,0.06,0.301758,-0.149414,0.931641,-17.74,-8.66
232447,-0.24,0.43,0.06,0.302246,-0.149902,0.932129,-17.74,-8.66
232449,-0.24,0.43,0.06,0.301758,-0.150879,0.932617,-17.74,-8.67
232450,-0.24,0.43,0.06,0.301758,-0.150879,0.932617,-17.73,-8.67
232452,-0.24,0.43,0.06,0.302246,-0.151855,0.933105,-17.73,-8.68
232453,-0.24,0.43,0.06,0.302246,-0.151855,0.933105,-17.73,-8.69
232454,-0.24,0.37,0.00,0.300781,-0.151855,0.933105,-17.73,-8.70
232455,-0.24,0.37,0.00,0.300781,-0.151855,0.933105,-17.72,-8.71
232457,-0.24,0.37,-0.06,0.300781,-0.150879,0.932617,-17.72,-8.72
232458,-0.24,0.37,-0.06,0.300781,-0.150879,0.932617,-17.71,-8.72
232459,-0.31,0.43,-0.12,0.299805,-0.149414,0.931641,-17.70,-8.72
232461,-0.31,0.43,-0.12,0.299805,-0.149414,0.931641,-17.70,-8.72
232462,-0.31,0.43,-0.12,0.299316,-0.148926,0.931641,-17.69,-8.72
232463,-0.31,0.43,-0.12,0.299316,-0.148926,0.931641,-17.68,-8.71
232464,-0.37,0.43,-0.18,0.299316,-0.148438,0.931152,-17.68,-8.71
232464,-0.37,0.43,-0.18,0.299316,-0.148438,0.931152,-17.67,-8.70
232467,-0.37,0.49,-0.18,0.299316,-0.149414,0.930664,-17.66,-8.70
232468,-0.37,0.49,-0.18,0.299316,-0.149414,0.930664,-17.66,-8.70
232469,-0.37,0.49,-0.24,0.299805,-0.149902,0.931152,-17.66,-8.70
232471,-0.37,0.49,-0.24,0.299805,-0.149902,0.931152,-17.65,-8.70
232472,-0.31,0.49,-0.24,0.300781,-0.150879,0.930664,-17.65,-8.70
232474,-0.31,0.49,-0.24,0.300781,-0.150879,0.930664,-17.66,-8.71
232475,-0.31,0.55,-0.31,0.299316,-0.150879,0.931641,-17.65,-8.71
232475,-0.31,0.55,-0.31,0.299316,-0.150879,0.931641,-17.65,-8.72
232477,-0.31,0.55,-0.37,0.299316,-0.150879,0.932129,-17.64,-8.72
232478,-0.31,0.55,-0.37,0.299316,-0.150879,0.932129,-17.64,-8.72
232480,-0.31,0.55,-0.37,0.297852,-0.150879,0.933594,-17.63,-8.73
232480,-0.31,0.55,-0.37,0.297852,-0.150879,0.933594,-17.62,-8.73
232482,-0.31,0.55,-0.37,0.297363,-0.150879,0.934570,-17.61,-8.73
232483,-0.31,0.55,-0.37,0.297363,-0.150879,0.934570,-17.59,-8.73
232485,-0.31,0.55,-0.37,0.296875,-0.151367,0.934082,-17.58,-8.74
232485,-0.31,0.55,-0.37,0.296875,-0.151367,0.934082,-17.56,-8.74
232488,-0.24,0.55,-0.37,0.296875,-0.152344,0.935059,-17.55,-8.75
232489,-0.24,0.55,-0.37,0.296875,-0.152344,0.935059,-17.54,-8.75
232491,-0.24,0.55,-0.43,0.296875,-0.153320,0.934570,-17.52,-8.76
232492,-0.24,0.55,-0.43,0.297363,-0.154297,0.934082,-17.51,-8.77
232493,-0.24,0.55,-0.43,0.297363,-0.154297,0.934082,-17.51,-8.79
232494,-0.24,0.55,-0.43,0.298340,-0.155273,0.933594,-17.50,-8.80
232496,-0.24,0.55,-0.43,0.298340,-0.155273,0.933594,-17.50,-8.82
232496,-0.31,0.55,-0.37,0.299805,-0.155762,0.932129,-17.50,-8.84
232498,-0.31,0.55,-0.37,0.299805,-0.155762,0.932129,-17.51,-8.85
232499,-0.31,0.55,-0.43,0.301270,-0.155273,0.931641,-17.52,-8.87
232501,-0.31,0.55,-0.43,0.301270,-0.155273,0.931641,-17.53,-8.88
232502,-0.37,0.55,-0.43,0.301270,-0.154785,0.931641,-17.54,-8.89
232503,-0.37,0.55,-0.43,0.301270,-0.154785,0.931641,-17.56,-8.90
232505,-0.37,0.55,-0.43,0.301270,-0.154297,0.932129,-17.57,-8.91
232506,-0.37,0.55,-0.43,0.301270,-0.154297,0.932129,-17.58,-8.91
232506,-0.43,0.55,-0.43,0.301270,-0.154785,0.932129,-17.59,-8.92
232508,-0.43,0.55,-0.43,0.301270,-0.154785,0.932129,-17.60,-8.92
232510,-0.43,0.55,-0.37,0.300781,-0.155762,0.932617,-17.60,-8.93
232511,-0.43,0.55,-0.37,0.300781,-0.155762,0.932617,-17.61,-8.94
232512,-0.43,0.55,-0.31,0.301270,-0.156250,0.933105,-17.61,-8.95
232514,-0.43,0.55,-0.31,0.301270,-0.156250,0.933105,-17.61,-8.96
232515,-0.43,0.55,-0.31,0.301270,-0.156738,0.933105,-17.62,-8.97
232516,-0.43,0.55,-0.31,0.301270,-0.156738,0.933105,-17.62,-8.98
232516,-0.37,0.49,-0.24,0.301758,-0.156738,0.934082,-17.63,-8.99
232519,-0.37,0.49,-0.24,0.301758,-0.156738,0.934082,-17.63,-8.99
232520,-0.37,0.43,-0.24,0.301758,-0.156250,0.934082,-17.63,-9.00
232521,-0.37,0.43,-0.24,0.301758,-0.156250,0.934082,-17.64,-9.01
232523,-0.31,0.43,-0.24,0.301270,-0.154785,0.934570,-17.64,-9.01
232524,-0.31,0.43,-0.24,0.301270,-0.154785,0.934570,-17.64,-9.00
232525,-0.24,0.43,-0.31,0.301758,-0.153320,0.934082,-17.64,-9.00
232527,-0.24,0.43,-0.31,0.301758,-0.153320,0.934082,-17.64,-8.99
232527,-0.24,0.49,-0.31,0.301270,-0.151855,0.934082,-17.64,-8.98
232529,-0.24,0.49,-0.31,0.301270,-0.151855,0.934082,-17.65,-8.96
232530,-0.18,0.49,-0.24,0.300781,-0.150879,0.933105,-17.65,-8.95
232532,-0.18,0.49,-0.24,0.300781,-0.150879,0.933105,-17.65,-8.93
232533,-0.18,0.49,-0.24,0.300781,-0.150391,0.933594,-17.65,-8.91
232534,-0.12,0.49,-0.24,0.300293,-0.149902,0.934082,-17.64,-8.90
232535,-0.12,0.49,-0.24,0.300293,-0.149902,0.934082,-17.64,-8.88
232537,-0.12,0.49,-0.24,0.301758,-0.149414,0.934082,-17.64,-8.86
232537,-0.12,0.49,-0.24,0.301758,-0.149414,0.934082,-17.65,-8.84
232539,-0.18,0.43,-0.24,0.301758,-0.149414,0.934570,-17.65,-8.83
