time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
367757,0.06,0.06,-0.37,0.980469,0.212891,0.127930,12.16,-7.17
367759,0.06,0.06,-0.37,0.980469,0.212891,0.127930,12.16,-7.18
367760,0.12,0.12,-0.37,0.980957,0.212891,0.126465,12.16,-7.18
367761,0.12,0.12,-0.37,0.980957,0.212891,0.126465,12.16,-7.18
367763,0.12,0.12,-0.43,0.981934,0.212891,0.125488,12.16,-7.18
367764,0.12,0.12,-0.43,0.981934,0.212891,0.125488,12.15,-7.18
367765,0.06,0.18,-0.43,0.982422,0.212891,0.125488,12.15,-7.17
367765,0.06,0.18,-0.43,0.982422,0.212891,0.125488,12.15,-7.17
367767,0.06,0.24,-0.37,0.982422,0.212891,0.124512,12.15,-7.16
367769,0.06,0.24,-0.37,0.982422,0.212891,0.124512,12.15,-7.15
367770,0.06,0.24,-0.37,0.982422,0.212402,0.125000,12.15,-7.15
367771,-0.00,0.24,-0.31,0.982422,0.213379,0.125000,12.15,-7.14
367773,-0.00,0.24,-0.31,0.982422,0.213379,0.125000,12.15,-7.14
367774,-0.00,0.24,-0.31,0.982422,0.213867,0.125000,12.15,-7.13
367775,-0.00,0.24,-0.31,0.982422,0.213867,0.125000,12.15,-7.13
367775,-0.00,0.24,-0.31,0.983398,0.214355,0.125000,12.16,-7.12
367778,-0.00,0.24,-0.31,0.983398,0.214355,0.125000,12.16,-7.12
367779,-0.06,0.18,-0.31,0.984375,0.215332,0.125488,12.17,-7.12
367780,-0.06,0.18,-0.31,0.984375,0.215332,0.125488,12.17,-7.12
367782,-0.06,0.18,-0.31,0.985352,0.214844,0.125000,12.18,-7.11
367783,-0.06,0.18,-0.31,0.985352,0.214844,0.125000,12.18,-7.11
367784,-0.06,0.18,-0.31,0.986328,0.214844,0.125977,12.18,-7.11
367786,-0.06,0.18,-0.31,0.986328,0.214844,0.125977,12.18,-7.11
367786,-0.06,0.18,-0.31,0.986328,0.214355,0.126465,12.18,-7.11
367788,-0.06,0.18,-0.31,0.986328,0.214355,0.126465,12.18,-7.11
367789,-0.06,0.18,-0.31,0.986816,0.213867,0.126465,12.18,-7.11
367791,-0.06,0.18,-0.31,0.986816,0.213867,0.126465,12.18,-7.12
367792,-0.06,0.18,-0.31,0.986816,0.213379,0.125977,12.17,-7.12
367793,-0.06,0.18,-0.31,0.986816,0.213379,0.125977,12.17,-7.12
367795,-0.06,0.18,-0.24,0.985840,0.213379,0.126465,12.16,-7.12
367796,-0.06,0.18,-0.24,0.985840,0.213379,0.126465,12.16,-7.12
367796,-0.06,0.24,-0.24,0.985352,0.213379,0.125977,12.16,-7.12
367799,-0.06,0.24,-0.24,0.985352,0.213379,0.125977,12.15,-7.12
367800,-0.06,0.24,-0.24,0.983887,0.213867,0.125000,12.15,-7.12
367801,-0.06,0.24,-0.24,0.983887,0.213867,0.125000,12.15,-7.12
367802,-0.12,0.24,-0.18,0.983398,0.213867,0.124023,12.15,-7.11
367804,-0.12,0.24,-0.18,0.983398,0.213867,0.124023,12.16,-7.11
367805,-0.12,0.24,-0.18,0.981934,0.213867,0.122559,12.16,-7.10
367806,-0.12,0.24,-0.18,0.981934,0.213867,0.122559,12.16,-7.09
367807,-0.18,0.18,-0.18,0.981934,0.214355,0.122070,12.17,-7.07
367809,-0.18,0.18,-0.18,0.981934,0.214355,0.122070,12.17,-7.06
367810,-0.18,0.18,-0.18,0.980957,0.214355,0.122559,12.18,-7.05
367811,-0.18,0.18,-0.18,0.981445,0.214844,0.124023,12.18,-7.05
367813,-0.18,0.18,-0.18,0.981445,0.214844,0.124023,12.19,-7.04
367814,-0.24,0.18,-0.18,0.981445,0.213867,0.125488,12.19,-7.05
367815,-0.24,0.18,-0.18,0.981445,0.213867,0.125488,12.19,-7.05
367817,-0.24,0.18,-0.12,0.982422,0.212891,0.125977,12.19,-7.06
367817,-0.24,0.18,-0.12,0.982422,0.212891,0.125977,12.19,-7.06
367819,-0.18,0.18,-0.12,0.982910,0.212402,0.126465,12.18,-7.07
367820,-0.18,0.18,-0.12,0.982910,0.212402,0.126465,12.17,-7.08
367822,-0.18,0.12,-0.12,0.983887,0.212402,0.126465,12.17,-7.09
367823,-0.18,0.12,-0.12,0.983887,0.212402,0.126465,12.16,-7.09
367824,-0.18,0.06,-0.18,0.984375,0.212891,0.125977,12.16,-7.10
367826,-0.18,0.06,-0.18,0.984375,0.212891,0.125977,12.15,-7.10
367827,-0.18,0.06,-0.18,0.983887,0.213867,0.126465,12.15,-7.11
367827,-0.18,0.06,-0.18,0.983887,0.213867,0.126465,12.15,-7.11
367829,-0.12,-0.00,-0.18,0.984375,0.214355,0.125977,12.15,-7.11
367831,-0.12,-0.00,-0.18,0.984375,0.214355,0.125977,12.15,-7.12
367832,-0.18,-0.00,-0.18,0.983887,0.213867,0.125977,12.16,-7.12
367833,-0.18,-0.00,-0.18,0.983887,0.213867,0.125977,12.16,-7.12
367835,-0.12,-0.00,-0.18,0.983887,0.213379,0.127441,12.16,-7.12
367836,-0.12,-0.00,-0.18,0.983887,0.213379,0.127441,12.16,-7.13
367837,-0.12,-0.00,-0.18,0.984375,0.212891,0.127441,12.15,-7.14
367837,-0.12,-0.00,-0.18,0.984375,0.212891,0.127441,12.15,-7.14
367839,-0.12,0.06,-0.18,0.983398,0.212891,0.129395,12.15,-7.15
367840,-0.12,0.06,-0.18,0.983398,0.212891,0.129395,12.14,-7.17
367842,-0.12,0.06,-0.18,0.983398,0.212891,0.128906,12.14,-7.18
367843,-0.12,0.06,-0.18,0.983398,0.212891,0.128906,12.14,-7.19
367844,-0.12,0.12,-0.12,0.982422,0.212402,0.128906,12.14,-7.20
367846,-0.12,0.12,-0.12,0.982422,0.212402,0.128906,12.13,-7.21
367847,-0.12,0.12,-0.12,0.981934,0.212402,0.127441,12.13,-7.22
367847,-0.12,0.12,-0.12,0.981934,0.212402,0.127441,12.13,-7.22
367849,-0.12,0.12,-0.18,0.981934,0.212402,0.126465,12.13,-7.22
367851,-0.12,0.12,-0.18,0.981934,0.212402,0.126465,12.13,-7.22
367852,-0.12,0.12,-0.18,0.980957,0.212891,0.125488,12.13,-7.21
367854,-0.18,0.12,-0.18,0.979980,0.213867,0.124512,12.13,-7.20
367855,-0.18,0.12,-0.18,0.979980,0.213867,0.124512,12.14,-7.19
367856,-0.18,0.06,-0.12,0.979492,0.214355,0.124512,12.14,-7.18
367857,-0.18,0.06,-0.12,0.979492,0.214355,0.124512,12.15,-7.18
367857,-0.24,-0.00,-0.06,0.979492,0.215332,0.124023,12.16,-7.17
367860,-0.24,-0.00,-0.06,0.979492,0.215332,0.124023,12.17,-7.16
367861,-0.24,-0.00,-0.06,0.979980,0.215332,0.123535,12.19,-7.14
367862,-0.24,-0.00,-0.06,0.979980,0.215332,0.123535,12.20,-7.13
367864,-0.31,-0.06,0.00,0.980957,0.214355,0.122559,12.20,-7.12
367865,-0.31,-0.06,0.00,0.980957,0.214355,0.122559,12.21,-7.11
367866,-0.31,-0.06,0.00,0.981445,0.213379,0.122559,12.21,-7.10
367868,-0.31,-0.06,0.00,0.981445,0.213379,0.122559,12.21,-7.08
367868,-0.31,-0.00,0.00,0.982422,0.212402,0.121582,12.20,-7.07
367870,-0.31,-0.00,0.00,0.982422,0.212402,0.121582,12.19,-7.06
367871,-0.24,0.06,0.00,0.982422,0.212402,0.122070,12.19,-7.04
367873,-0.24,0.06,0.00,0.982422,0.212402,0.122070,12.18,-7.03
367874,-0.24,0.18,0.00,0.982422,0.211426,0.123047,12.17,-7.02
367875,-0.24,0.18,0.00,0.982422,0.211426,0.123047,12.16,-7.02
367877,-0.24,0.31,-0.06,0.981445,0.210938,0.123047,12.15,-7.02
367878,-0.24,0.31,-0.06,0.981445,0.210938,0.123047,12.14,-7.01
367878,-0.24,0.37,-0.06,0.979980,0.210449,0.123535,12.13,-7.01
367880,-0.24,0.37,-0.06,0.979980,0.210449,0.123535,12.12,-7.01
367882,-0.31,0.43,-0.12,0.979004,0.209961,0.124512,12.11,-7.02
367883,-0.31,0.43,-0.12,0.979004,0.209961,0.124512,12.11,-7.02
367884,-0.31,0.49,-0.12,0.978516,0.209473,0.125488,12.10,-7.03
367885,-0.31,0.49,-0.12,0.978516,0.209473,0.125488,12.09,-7.04
367887,-0.31,0.49,-0.18,0.979492,0.209961,0.125977,12.08,-7.05
367888,-0.31,0.49,-0.18,0.979492,0.209961,0.125977,12.07,-7.06
367888,-0.31,0.49,-0.18,0.980957,0.209473,0.126953,12.06,-7.07
367891,-0.31,0.49,-0.18,0.980957,0.209473,0.126953,12.06,-7.08
