time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
342567,-109.19,28.81,9.89,0.195801,-0.259277,0.934082,-13.84,-11.03
342569,-109.19,28.81,9.89,0.195801,-0.259277,0.934082,-13.61,-11.50
342570,-107.24,29.05,9.22,0.188965,-0.255859,0.929688,-13.39,-11.93
342572,-107.24,29.05,9.22,0.188965,-0.255859,0.929688,-13.16,-12.32
342572,-105.16,29.05,8.18,0.187500,-0.248535,0.926270,-12.95,-12.65
342574,-102.78,28.63,7.08,0.184570,-0.239746,0.922363,-12.76,-12.92
342576,-102.78,28.63,7.08,0.184570,-0.239746,0.922363,-12.57,-13.15
342576,-100.40,27.95,6.04,0.181152,-0.228027,0.919922,-12.39,-13.33
342577,-100.40,27.95,6.04,0.181152,-0.228027,0.919922,-12.23,-13.47
342579,-98.08,27.04,5.13,0.166504,-0.215820,0.918457,-12.04,-13.55
342581,-98.08,27.04,5.13,0.166504,-0.215820,0.918457,-11.85,-13.61
342582,-96.19,26.12,4.39,0.145020,-0.202148,0.917480,-11.61,-13.62
342583,-96.19,26.12,4.39,0.145020,-0.202148,0.917480,-11.37,-13.61
342585,-94.85,25.21,3.85,0.124023,-0.189453,0.916504,-11.07,-13.55
342586,-94.85,25.21,3.85,0.124023,-0.189453,0.916504,-10.76,-13.48
342587,-94.30,24.41,3.66,0.112305,-0.178223,0.917480,-10.44,-13.38
342587,-94.30,24.41,3.66,0.112305,-0.178223,0.917480,-10.11,-13.26
342590,-94.67,23.80,3.91,0.104004,-0.166992,0.916504,-9.79,-13.12
342590,-94.67,23.80,3.91,0.104004,-0.166992,0.916504,-9.47,-12.96
342592,-95.95,23.44,4.64,0.104980,-0.158691,0.916992,-9.18,-12.79
342594,-95.95,23.44,4.64,0.104980,-0.158691,0.916992,-8.91,-12.62
342595,-98.27,23.32,5.55,0.104980,-0.153809,0.915527,-8.67,-12.45
342596,-98.27,23.32,5.55,0.104980,-0.153809,0.915527,-8.45,-12.28
342598,-101.14,23.44,6.16,0.104492,-0.155273,0.911621,-8.25,-12.13
342598,-101.14,23.44,6.16,0.104492,-0.155273,0.911621,-8.06,-11.99
342600,-104.06,23.56,6.29,0.106445,-0.163574,0.907715,-7.90,-11.89
342600,-104.06,23.56,6.29,0.106445,-0.163574,0.907715,-7.75,-11.81
342600,-106.38,23.56,5.98,0.110840,-0.178711,0.903320,-7.64,-11.80
342604,-106.38,23.56,5.98,0.110840,-0.178711,0.903320,-7.54,-11.81
342605,-107.60,23.19,5.49,0.122559,-0.198242,0.898926,-7.48,-11.88
342607,-107.60,23.19,5.49,0.122559,-0.198242,0.898926,-7.45,-11.99
342608,-107.67,22.40,5.07,0.133301,-0.220703,0.895020,-7.46,-12.16
342609,-107.67,22.40,5.07,0.133301,-0.220703,0.895020,-7.49,-12.36
342611,-107.12,21.24,4.82,0.139648,-0.238281,0.891602,-7.55,-12.61
342612,-107.12,21.24,4.82,0.139648,-0.238281,0.891602,-7.61,-12.87
342613,-106.57,19.84,5.00,0.138184,-0.251465,0.887695,-7.67,-13.16
342614,-106.81,18.25,5.74,0.128418,-0.259277,0.885254,-7.71,-13.48
342616,-106.81,18.25,5.74,0.128418,-0.259277,0.885254,-7.72,-13.80
342617,-107.91,16.48,7.14,0.129883,-0.264648,0.883789,-7.73,-14.11
342618,-107.91,16.48,7.14,0.129883,-0.264648,0.883789,-7.75,-14.41
342618,-109.56,14.95,8.91,0.141602,-0.276367,0.881836,-7.79,-14.73
342621,-109.56,14.95,8.91,0.141602,-0.276367,0.881836,-7.84,-15.03
342622,-111.21,14.04,10.74,0.166992,-0.300293,0.880371,-7.97,-15.38
342624,-111.21,14.04,10.74,0.166992,-0.300293,0.880371,-8.12,-15.74
342625,-112.06,13.92,12.15,0.194336,-0.333008,0.877441,-8.34,-16.16
342626,-112.06,13.92,12.15,0.194336,-0.333008,0.877441,-8.59,-16.59
342627,-111.94,14.47,12.94,0.212402,-0.372559,0.874512,-8.88,-17.11
342629,-111.94,14.47,12.94,0.212402,-0.372559,0.874512,-9.17,-17.65
342629,-110.72,15.32,13.12,0.217773,-0.404785,0.873047,-9.46,-18.24
342631,-110.72,15.32,13.12,0.217773,-0.404785,0.873047,-9.74,-18.84
342632,-108.70,16.17,12.76,0.218262,-0.421875,0.873535,-9.99,-19.44
342634,-108.70,16.17,12.76,0.218262,-0.421875,0.873535,-10.22,-20.02
342635,-106.26,16.97,11.96,0.214355,-0.419922,0.874512,-10.42,-20.56
342636,-106.26,16.97,11.96,0.214355,-0.419922,0.874512,-10.59,-21.06
342638,-104.00,17.82,10.86,0.207520,-0.402832,0.874512,-10.73,-21.47
342639,-104.00,17.82,10.86,0.207520,-0.402832,0.874512,-10.85,-21.83
342639,-101.99,18.49,9.58,0.198242,-0.379395,0.873047,-10.94,-22.09
342641,-101.99,18.49,9.58,0.198242,-0.379395,0.873047,-11.01,-22.29
342643,-100.22,18.86,8.30,0.185547,-0.360840,0.870117,-11.04,-22.42
342644,-100.22,18.86,8.30,0.185547,-0.360840,0.870117,-11.04,-22.51
342645,-98.69,19.10,6.96,0.172852,-0.350586,0.867676,-11.01,-22.55
342646,-98.69,19.10,6.96,0.172852,-0.350586,0.867676,-10.96,-22.57
342648,-97.17,19.23,5.68,0.166016,-0.348633,0.864746,-10.89,-22.58
342649,-97.17,19.23,5.68,0.166016,-0.348633,0.864746,-10.82,-22.59
342649,-95.89,19.59,4.58,0.165039,-0.350098,0.863770,-10.74,-22.59
342652,-95.03,20.26,3.91,0.169434,-0.353516,0.862793,-10.67,-22.60
342653,-95.03,20.26,3.91,0.169434,-0.353516,0.862793,-10.62,-22.62
342654,-94.60,21.12,3.78,0.170898,-0.354980,0.863281,-10.57,-22.64
342655,-94.60,21.12,3.78,0.170898,-0.354980,0.863281,-10.53,-22.66
342657,-94.54,21.79,4.09,0.165527,-0.357910,0.863281,-10.48,-22.69
342658,-94.54,21.79,4.09,0.165527,-0.357910,0.863281,-10.43,-22.72
342659,-94.54,22.22,4.52,0.155762,-0.362793,0.863281,-10.35,-22.77
342659,-94.54,22.22,4.52,0.155762,-0.362793,0.863281,-10.26,-22.82
342662,-94.36,22.34,4.76,0.141113,-0.372070,0.863770,-10.13,-22.89
342664,-94.36,22.34,4.76,0.141113,-0.372070,0.863770,-9.99,-22.98
342665,-93.87,22.46,4.82,0.130371,-0.384277,0.863770,-9.82,-23.09
342666,-93.87,22.46,4.82,0.130371,-0.384277,0.863770,-9.64,-23.22
342667,-93.26,22.71,4.70,0.124023,-0.400879,0.863770,-9.45,-23.38
342668,-93.26,22.71,4.70,0.124023,-0.400879,0.863770,-9.26,-23.56
342670,-92.65,23.07,4.64,0.118652,-0.418945,0.863281,-9.06,-23.78
342670,-92.65,23.07,4.64,0.118652,-0.418945,0.863281,-8.87,-24.01
342673,-92.16,23.38,4.82,0.113770,-0.435059,0.862305,-8.68,-24.27
342674,-92.16,23.38,4.82,0.113770,-0.435059,0.862305,-8.49,-24.54
342675,-91.74,23.62,5.25,0.107422,-0.449219,0.860352,-8.29,-24.83
342677,-91.74,23.62,5.25,0.107422,-0.449219,0.860352,-8.10,-25.12
342678,-91.31,23.62,5.80,0.103516,-0.459473,0.858887,-7.92,-25.42
342679,-91.31,23.62,5.80,0.103516,-0.459473,0.858887,-7.73,-25.72
342681,-90.82,23.44,6.35,0.101563,-0.469238,0.856445,-7.56,-26.02
342681,-90.82,23.44,6.35,0.101563,-0.469238,0.856445,-7.40,-26.32
342683,-90.03,23.25,6.90,0.104004,-0.479492,0.854492,-7.25,-26.62
342684,-90.03,23.25,6.90,0.104004,-0.479492,0.854492,-7.12,-26.91
342686,-89.11,22.95,7.45,0.105957,-0.491699,0.853027,-7.00,-27.22
342687,-89.11,22.95,7.45,0.105957,-0.491699,0.853027,-6.90,-27.51
342688,-87.89,22.64,7.93,0.108887,-0.506836,0.850586,-6.82,-27.82
342690,-87.89,22.64,7.93,0.108887,-0.506836,0.850586,-6.74,-28.13
342691,-86.30,22.28,8.18,0.109375,-0.524414,0.849121,-6.68,-28.46
342691,-84.35,21.91,8.18,0.109863,-0.541504,0.847168,-6.62,-28.83
342693,-84.35,21.91,8.18,0.109863,-0.541504,0.847168,-6.56,-29.20
342694,-82.03,21.55,7.87,0.105469,-0.557129,0.845703,-6.50,-29.58
342696,-82.03,21.55,7.87,0.105469,-0.557129,0.845703,-6.44,-29.96
342697,-79.47,21.12,7.51,0.099121,-0.566406,0.844238,-6.36,-30.33
342698,-79.47,21.12,7.51,0.099121,-0.566406,0.844238,-6.28,-30.69
342700,-77.09,20.45,7.20,0.091797,-0.569824,0.842285,-6.18,-31.03
342700,-77.09,20.45,7.20,0.091797,-0.569824,0.842285,-6.08,-31.36
342700,-75.01,19.59,7.02,0.087891,-0.567871,0.840820,-5.98,-31.65
342703,-75.01,19.59,7.02,0.087891,-0.567871,0.840820,-5.87,-31.92
342704,-73.30,18.74,7.02,0.087402,-0.564453,0.837891,-5.77,-32.17
342706,-73.30,18.74,7.02,0.087402,-0.564453,0.837891,-5.68,-32.38
342707,-71.72,18.01,7.20,0.090332,-0.565430,0.836426,-5.61,-32.58
342709,-71.72,18.01,7.20,0.090332,-0.565430,0.836426,-5.54,-32.77
342710,-70.13,17.46,7.45,0.093262,-0.568359,0.834961,-5.49,-32.94
342712,-70.13,17.46,7.45,0.093262,-0.568359,0.834961,-5.45,-33.11
342712,-68.54,17.15,7.69,0.093750,-0.577148,0.833496,-5.42,-33.28
342714,-68.54,17.15,7.69,0.093750,-0.577148,0.833496,-5.39,-33.44
342715,-66.89,16.91,7.81,0.092285,-0.585938,0.832031,-5.35,-33.62
342717,-66.89,16.91,7.81,0.092285,-0.585938,0.832031,-5.32,-33.79
342718,-65.37,16.48,7.69,0.089844,-0.594727,0.830566,-5.29,-33.97
342719,-65.37,16.48,7.69,0.089844,-0.594727,0.830566,-5.25,-34.15
342721,-63.84,15.87,7.32,0.086426,-0.600586,0.829102,-5.21,-34.34
342722,-63.84,15.87,7.32,0.086426,-0.600586,0.829102,-5.16,-34.52
342722,-62.38,15.14,6.71,0.085449,-0.604004,0.827637,-5.12,-34.69
342725,-62.38,15.14,6.71,0.085449,-0.604004,0.827637,-5.08,-34.86
342726,-60.91,14.28,5.98,0.083984,-0.606934,0.827148,-5.03,-35.02
342727,-59.39,13.61,5.31,0.081543,-0.609863,0.825195,-4.98,-35.18
342728,-59.39,13.61,5.31,0.081543,-0.609863,0.825195,-4.93,-35.33
342730,-57.92,13.12,4.70,0.076172,-0.614258,0.824707,-4.87,-35.48
342731,-57.92,13.12,4.70,0.076172,-0.614258,0.824707,-4.81,-35.63
342732,-56.27,12.82,4.15,0.071777,-0.619629,0.823730,-4.74,-35.77
342732,-56.27,12.82,4.15,0.071777,-0.619629,0.823730,-4.67,-35.91
342735,-54.57,12.70,3.78,0.067871,-0.626465,0.822754,-4.59,-36.06
342736,-54.57,12.70,3.78,0.067871,-0.626465,0.822754,-4.51,-36.20
342737,-52.61,12.57,3.48,0.067871,-0.632324,0.821289,-4.43,-36.35
342739,-52.61,12.57,3.48,0.067871,-0.632324,0.821289,-4.36,-36.49
342740,-50.66,12.39,3.23,0.066406,-0.636230,0.819824,-4.29,-36.64
342742,-50.66,12.39,3.23,0.066406,-0.636230,0.819824,-4.23,-36.77
342742,-48.71,12.08,3.05,0.063477,-0.636719,0.817871,-4.16,-36.91
342742,-48.71,12.08,3.05,0.063477,-0.636719,0.817871,-4.09,-37.03
342745,-46.88,11.66,2.93,0.058105,-0.634277,0.816406,-4.02,-37.14
342746,-46.88,11.66,2.93,0.058105,-0.634277,0.816406,-3.94,-37.24
342748,-45.23,11.17,2.93,0.054199,-0.628418,0.815918,-3.86,-37.32
342749,-45.23,11.17,2.93,0.054199,-0.628418,0.815918,-3.78,-37.39
342750,-43.76,10.68,3.05,0.052246,-0.619629,0.813965,-3.70,-37.43
342751,-43.76,10.68,3.05,0.052246,-0.619629,0.813965,-3.62,-37.46
342752,-42.42,10.19,3.11,0.052246,-0.610840,0.812988,-3.55,-37.47
342753,-42.42,10.19,3.11,0.052246,-0.610840,0.812988,-3.49,-37.46
342755,-41.26,9.70,3.05,0.052246,-0.602539,0.810547,-3.43,-37.44
342757,-41.26,9.70,3.05,0.052246,-0.602539,0.810547,-3.38,-37.40
342757,-40.10,9.16,2.87,0.050781,-0.597656,0.808594,-3.33,-37.36
342759,-40.10,9.16,2.87,0.050781,-0.597656,0.808594,-3.28,-37.32
342760,-39.06,8.61,2.56,0.049805,-0.594727,0.806641,-3.24,-37.27
342762,-39.06,8.61,2.56,0.049805,-0.594727,0.806641,-3.20,-37.23
342763,-37.90,8.12,2.14,0.048828,-0.594727,0.806152,-3.16,-37.18
342763,-37.90,8.12,2.14,0.048828,-0.594727,0.806152,-3.12,-37.15
342766,-36.74,7.69,1.71,0.048828,-0.595703,0.805664,-3.08,-37.11
342767,-35.46,7.26,1.22,0.048340,-0.599121,0.805176,-3.05,-37.09
342768,-35.46,7.26,1.22,0.048340,-0.599121,0.805176,-3.02,-37.07
342770,-34.12,6.90,0.73,0.047363,-0.603027,0.805176,-2.99,-37.07
342771,-34.12,6.90,0.73,0.047363,-0.603027,0.805176,-2.96,-37.07
342772,-32.71,6.53,0.18,0.048340,-0.608398,0.804688,-2.93,-37.08
342774,-32.71,6.53,0.18,0.048340,-0.608398,0.804688,-2.91,-37.10
342774,-31.37,6.10,-0.49,0.051270,-0.615234,0.804199,-2.90,-37.13
342776,-31.37,6.10,-0.49,0.051270,-0.615234,0.804199,-2.89,-37.17
342777,-30.03,5.68,-1.16,0.056641,-0.622559,0.803711,-2.90,-37.23
342779,-30.03,5.68,-1.16,0.056641,-0.622559,0.803711,-2.91,-37.29
342780,-28.69,5.31,-1.77,0.064453,-0.633301,0.801758,-2.95,-37.37
342781,-28.69,5.31,-1.77,0.064453,-0.633301,0.801758,-3.00,-37.46
342783,-27.28,5.07,-2.20,0.068848,-0.645508,0.800293,-3.05,-37.57
342784,-27.28,5.07,-2.20,0.068848,-0.645508,0.800293,-3.11,-37.69
342785,-25.76,5.00,-2.38,0.071289,-0.660645,0.798828,-3.18,-37.84
342786,-25.76,5.00,-2.38,0.071289,-0.660645,0.798828,-3.24,-37.99
342788,-24.17,5.00,-2.32,0.071289,-0.676270,0.797363,-3.30,-38.17
342789,-24.17,5.00,-2.32,0.071289,-0.676270,0.797363,-3.35,-38.36
342791,-22.40,5.07,-2.20,0.071289,-0.691895,0.796875,-3.40,-38.56
342791,-22.40,5.07,-2.20,0.071289,-0.691895,0.796875,-3.44,-38.77
342793,-20.51,5.00,-2.08,0.070801,-0.707031,0.795410,-3.47,-39.00
342794,-20.51,5.00,-2.08,0.070801,-0.707031,0.795410,-3.50,-39.23
342794,-18.37,4.94,-2.08,0.068848,-0.721191,0.794922,-3.52,-39.47
342797,-18.37,4.94,-2.08,0.068848,-0.721191,0.794922,-3.54,-39.71
342798,-15.99,4.82,-2.26,0.063965,-0.734375,0.794922,-3.54,-39.96
342799,-15.99,4.82,-2.26,0.063965,-0.734375,0.794922,-3.53,-40.20
342800,-13.49,4.70,-2.62,0.055664,-0.746094,0.795410,-3.50,-40.44
342800,-13.49,4.70,-2.62,0.055664,-0.746094,0.795410,-3.45,-40.68
342803,-10.86,4.52,-2.99,0.043457,-0.756348,0.796387,-3.38,-40.92
342804,-8.12,4.27,-3.36,0.030273,-0.763184,0.796387,-3.26,-41.17
342804,-8.12,4.27,-3.36,0.030273,-0.763184,0.796387,-3.13,-41.40
342807,-5.25,3.85,-3.78,0.018066,-0.769531,0.795898,-2.98,-41.62
342808,-5.25,3.85,-3.78,0.018066,-0.769531,0.795898,-2.81,-41.84
342809,-2.20,3.30,-4.15,0.008301,-0.774414,0.795898,-2.63,-42.05
342811,-2.20,3.30,-4.15,0.008301,-0.774414,0.795898,-2.44,-42.24
342812,0.92,2.56,-4.64,-0.000000,-0.778809,0.796387,-2.25,-42.43
342814,0.92,2.56,-4.64,-0.000000,-0.778809,0.796387,-2.06,-42.60
342815,4.09,1.65,-5.07,-0.004883,-0.782715,0.796875,-1.87,-42.76
342815,4.09,1.65,-5.07,-0.004883,-0.782715,0.796875,-1.69,-42.91
342817,7.32,0.61,-5.49,-0.008789,-0.785645,0.797852,-1.51,-43.05
342819,7.32,0.61,-5.49,-0.008789,-0.785645,0.797852,-1.34,-43.18
342819,10.44,-0.49,-5.92,-0.012207,-0.787109,0.798340,-1.18,-43.30
342820,10.44,-0.49,-5.92,-0.012207,-0.787109,0.798340,-1.03,-43.41
342822,13.61,-1.59,-6.35,-0.015137,-0.785156,0.798828,-0.88,-43.50
342823,13.61,-1.59,-6.35,-0.015137,-0.785156,0.798828,-0.74,-43.58
342825,16.72,-2.75,-6.84,-0.019531,-0.781738,0.798340,-0.60,-43.65
342825,16.72,-2.75,-6.84,-0.019531,-0.781738,0.798340,-0.46,-43.71
342827,19.90,-3.85,-7.39,-0.025879,-0.775879,0.796875,-0.33,-43.75
342829,19.90,-3.85,-7.39,-0.025879,-0.775879,0.796875,-0.19,-43.78
342830,23.07,-5.00,-8.12,-0.031738,-0.771973,0.794434,-0.05,-43.80
342832,23.07,-5.00,-8.12,-0.031738,-0.771973,0.794434,0.08,-43.81
342833,26.31,-6.10,-8.91,-0.034180,-0.771484,0.791992,0.22,-43.83
342834,26.31,-6.10,-8.91,-0.034180,-0.771484,0.791992,0.34,-43.84
342835,29.60,-7.14,-9.77,-0.033691,-0.776367,0.789063,0.46,-43.86
342835,29.60,-7.14,-9.77,-0.033691,-0.776367,0.789063,0.56,-43.89
342838,32.96,-8.30,-10.56,-0.028809,-0.788086,0.785645,0.65,-43.94
342839,32.96,-8.30,-10.56,-0.028809,-0.788086,0.785645,0.72,-44.00
342841,36.44,-9.46,-11.29,-0.021973,-0.802734,0.783203,0.76,-44.08
342842,36.44,-9.46,-11.29,-0.021973,-0.802734,0.783203,0.79,-44.18
342844,39.98,-10.68,-12.08,-0.014648,-0.817871,0.780762,0.79,-44.30
342845,39.98,-10.68,-12.08,-0.014648,-0.817871,0.780762,0.78,-44.43
342845,43.52,-11.84,-12.88,-0.009277,-0.830566,0.777344,0.76,-44.58
342845,47.12,-13.00,-13.85,-0.005371,-0.839355,0.774902,0.71,-44.75
342848,47.12,-13.00,-13.85,-0.005371,-0.839355,0.774902,0.67,-44.92
342850,50.78,-14.04,-14.89,-0.004883,-0.844727,0.771484,0.61,-45.10
342851,50.78,-14.04,-14.89,-0.004883,-0.844727,0.771484,0.56,-45.27
342851,54.44,-14.89,-15.99,-0.005859,-0.848145,0.767578,0.52,-45.43
342854,54.44,-14.89,-15.99,-0.005859,-0.848145,0.767578,0.48,-45.60
342855,58.35,-15.63,-17.15,-0.006836,-0.850098,0.765137,0.44,-45.75
342856,58.35,-15.63,-17.15,-0.006836,-0.850098,0.765137,0.41,-45.90
342857,62.44,-16.30,-18.31,-0.006836,-0.851563,0.763184,0.38,-46.04
342859,62.44,-16.30,-18.31,-0.006836,-0.851563,0.763184,0.36,-46.17
342860,66.71,-17.03,-19.47,-0.005371,-0.851563,0.762207,0.33,-46.28
342861,66.71,-17.03,-19.47,-0.005371,-0.851563,0.762207,0.30,-46.39
342863,71.17,-17.76,-20.51,-0.003906,-0.851563,0.761719,0.27,-46.49
342864,71.17,-17.76,-20.51,-0.003906,-0.851563,0.761719,0.24,-46.58
342865,75.74,-18.62,-21.42,-0.002441,-0.851074,0.762207,0.21,-46.66
342866,75.74,-18.62,-21.42,-0.002441,-0.851074,0.762207,0.18,-46.72
342866,80.26,-19.59,-22.09,-0.002441,-0.848633,0.762695,0.15,-46.78
342868,80.26,-19.59,-22.09,-0.002441,-0.848633,0.762695,0.12,-46.82
342870,84.72,-20.57,-22.52,-0.003418,-0.846191,0.764160,0.09,-46.85
342872,84.72,-20.57,-22.52,-0.003418,-0.846191,0.764160,0.07,-46.88
