time,gyro0,gyro1,gyro2,act0,act1,act2,pitch,roll
30015,0.12,0.12,-0.24,0.251465,-0.043457,0.960449,-14.57,-2.66
30016,0.12,0.12,-0.24,0.251465,-0.043457,0.960449,-14.58,-2.64
30017,0.18,0.06,-0.24,0.253418,-0.041504,0.960449,-14.59,-2.63
30018,0.18,0.06,-0.24,0.253418,-0.041504,0.960449,-14.60,-2.61
30019,0.24,-0.00,-0.18,0.254883,-0.040039,0.960449,-14.62,-2.59
30021,0.24,-0.00,-0.18,0.254883,-0.040039,0.960449,-14.64,-2.56
30022,0.24,-0.06,-0.12,0.255859,-0.038574,0.960449,-14.66,-2.54
30022,0.24,-0.06,-0.12,0.255859,-0.038574,0.960449,-14.68,-2.51
30024,0.24,-0.12,-0.06,0.255859,-0.038574,0.959961,-14.70,-2.49
30026,0.24,-0.12,-0.06,0.255859,-0.038574,0.959961,-14.72,-2.46
30027,0.18,-0.18,0.00,0.254883,-0.039551,0.959473,-14.73,-2.44
30028,0.18,-0.18,0.00,0.254883,-0.039551,0.959473,-14.75,-2.43
30030,0.18,-0.18,0.00,0.254395,-0.040527,0.958984,-14.76,-2.42
30031,0.18,-0.18,0.00,0.254395,-0.040527,0.958984,-14.77,-2.41
30032,0.12,-0.24,0.00,0.254395,-0.041016,0.958984,-14.77,-2.40
30033,0.06,-0.24,-0.06,0.254395,-0.040039,0.959473,-14.78,-2.40
30035,0.06,-0.24,-0.06,0.254395,-0.040039,0.959473,-14.79,-2.39
30036,0.06,-0.18,-0.06,0.255371,-0.038574,0.960938,-14.79,-2.38
30038,0.06,-0.18,-0.06,0.255371,-0.038574,0.960938,-14.80,-2.37
30039,0.06,-0.12,-0.12,0.255371,-0.036621,0.961914,-14.80,-2.35
30040,0.06,-0.12,-0.12,0.255371,-0.036621,0.961914,-14.81,-2.33
30042,0.06,-0.12,-0.12,0.254883,-0.035645,0.963379,-14.81,-2.31
30043,0.06,-0.12,-0.12,0.254883,-0.035645,0.963379,-14.81,-2.29
30043,0.06,-0.06,-0.12,0.254883,-0.035156,0.963867,-14.81,-2.26
30045,0.06,-0.06,-0.12,0.254883,-0.035156,0.963867,-14.81,-2.24
30046,0.06,-0.06,-0.12,0.254395,-0.034668,0.964844,-14.81,-2.22
30048,0.06,-0.06,-0.12,0.254395,-0.034668,0.964844,-14.81,-2.20
